JOBID=28568
Size, Timepoint Index, Time
64K, End, 48, 5.3209e-05
64K, End, 49, 5.0315e-05
64K, End, 50, 5.1132e-05
64K, End, 51, 5.5619e-05
64K, End, 52, 5.1988e-05
64K, End, 53, 5.1722e-05
64K, End, 54, 5.1816e-05
64K, End, 55, 5.1148e-05
64K, End, 56, 5.2237e-05
64K, End, 57, 5.2136e-05
64K, End, 58, 5.1575e-05
64K, End, 59, 5.0157e-05
64K, End, 60, 5.1501e-05
64K, End, 61, 5.0603e-05
64K, End, 62, 5.0495e-05
64K, End, 63, 5.0683e-05
64K, End, 64, 5.0802e-05
64K, End, 65, 5.3969e-05
64K, End, 66, 5.1219e-05
64K, End, 67, 4.9882e-05
64K, End, 68, 5.0856e-05
64K, End, 69, 5.1451e-05
64K, End, 70, 5.0418e-05
64K, End, 71, 5.1794e-05
64K, End, 72, 5.1714e-05
64K, End, 73, 5.0935e-05
64K, End, 74, 5.0272e-05
64K, End, 75, 4.945e-05
64K, End, 76, 5.2374e-05
64K, End, 77, 5.28e-05
64K, End, 78, 4.8498e-05
64K, End, 79, 4.8807e-05
64K, End, 80, 4.9545e-05
64K, End, 81, 4.9034e-05
64K, End, 82, 4.8445e-05
64K, End, 83, 4.9089e-05
64K, End, 84, 4.9814e-05
64K, End, 85, 5.0098e-05
64K, End, 86, 4.8694e-05
64K, End, 87, 4.9215e-05
64K, End, 88, 5.0167e-05
64K, End, 89, 5.1336e-05
64K, End, 90, 4.9641e-05
64K, End, 91, 4.9572e-05
64K, End, 92, 4.9673e-05
64K, End, 93, 4.9821e-05
64K, End, 94, 5.0107e-05
64K, End, 95, 5.0096e-05
64K, End, 96, 5.0461e-05
64K, End, 97, 4.941e-05
64K, End, 98, 4.9953e-05
64K, End, 99, 4.8979e-05
64K, End, 100, 5.0585e-05
128K, End, 1, 0.00015328
128K, End, 2, 0.000155876
128K, End, 3, 0.000154731
128K, End, 4, 0.000155453
128K, End, 5, 0.000151942
128K, End, 6, 0.000146384
128K, End, 7, 0.000145406
128K, End, 8, 0.000147146
128K, End, 9, 0.000146333
128K, End, 10, 0.000147015
128K, End, 11, 0.000146381
128K, End, 12, 0.000147001
128K, End, 13, 0.000146123
128K, End, 14, 0.000146337
128K, End, 15, 0.000145474
128K, End, 16, 0.000145009
128K, End, 17, 0.000146529
128K, End, 18, 0.000145414
128K, End, 19, 0.000148929
128K, End, 20, 0.000144965
128K, End, 21, 0.000145663
128K, End, 22, 0.000146606
128K, End, 23, 0.00014765
128K, End, 24, 0.00014595
128K, End, 25, 0.000152634
128K, End, 26, 0.00014677
128K, End, 27, 0.000146132
128K, End, 28, 0.000146616
128K, End, 29, 0.000145221
128K, End, 30, 0.000145879
128K, End, 31, 0.000145016
128K, End, 32, 0.000145545
128K, End, 33, 0.000146567
128K, End, 34, 0.000145908
128K, End, 35, 0.000150449
128K, End, 36, 0.000148478
