JOBID=30313
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/non-contiguous/upcxx_rput_non_contiguous --chunk-size 4 --in-stride 8 --out-inter-chunk-stride 8 --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Total-size, Chunk-size, Chunks-per-rank, In-stride, Size-per-rank, Out-inter-chunk-stride, Out-inter-rank-stride, Timepoint, Index, Time
0, 32, 4, 4, 8, 16, 8, 36, End, 47, 1.19e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 48, 1.74e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 49, 3.184e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 50, 1.494e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 51, 2.506e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 52, 2.567e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 53, 2.49e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 54, 2.486e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 55, 1.518e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 56, 1.204e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 57, 2.456e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 58, 1.582e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 59, 2.861e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 60, 1.485e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 61, 2.326e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 62, 2.526e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 63, 1.999e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 64, 1.115e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 65, 2.393e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 66, 1.49e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 67, 2.375e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 68, 1.72e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 69, 2.607e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 70, 1.866e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 71, 1.551e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 72, 1.226e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 73, 1.766e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 74, 2.189e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 75, 2.354e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 76, 1.489e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 77, 1.738e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 78, 2.894e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 79, 1.124e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 80, 2.28e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 81, 2.625e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 82, 2.143e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 83, 1.283e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 84, 2.573e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 85, 2.332e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 86, 2.195e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 87, 1.135e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 88, 1.184e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 89, 2.341e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 90, 2.414e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 91, 2.505e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 92, 1.767e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 93, 2.858e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 94, 2.571e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 95, 1.197e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 96, 1.182e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 97, 2.822e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 98, 1.686e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 99, 2.304e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 100, 1.688e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 101, 2.138e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 102, 1.203e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 103, 2.809e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 104, 2.547e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 105, 1.509e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 106, 2.528e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 107, 1.619e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 108, 2.171e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 109, 1.162e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 110, 2.608e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 111, 1.682e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 112, 1.392e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 113, 2.703e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 114, 2.306e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 115, 1.818e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 116, 1.581e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 117, 1.218e-06
